x,y,layer1,layer2,voltage1,voltage2,current
5176.01,1060.21,TOP_LAYER,LAYER_1,0.00143147,0.00143147,-1.45856e-15
5176.01,1060.21,LAYER_1,LAYER_2,0.00143147,0.00143147,-5.31907e-16
5176.01,1060.21,LAYER_2,BOTTOM_LAYER,0.00143147,0.00143147,-0
5176.01,1201.94,TOP_LAYER,LAYER_1,0.00142341,0.00142341,-0
5176.01,1201.94,LAYER_1,LAYER_2,0.00142341,0.00142341,-7.97861e-16
5176.01,1201.94,LAYER_2,BOTTOM_LAYER,0.00142341,0.00142341,-0
5176.01,1910.6,TOP_LAYER,LAYER_1,0.00135239,0.00135239,-0
5176.01,1910.6,LAYER_1,LAYER_2,0.00135239,0.00135239,-7.97861e-16
5176.01,1910.6,LAYER_2,BOTTOM_LAYER,0.00135239,0.00135239,-0
5176.01,2194.07,TOP_LAYER,LAYER_1,0.00133603,0.00133624,-0.00139009
5176.01,2194.07,LAYER_1,LAYER_2,0.00133624,0.00133737,-0.00139009
5176.01,2194.07,LAYER_2,BOTTOM_LAYER,0.00133737,0.00133737,-0
5176.01,2335.8,TOP_LAYER,LAYER_1,0.00133414,0.00133414,8.31199e-07
5176.01,2335.8,LAYER_1,LAYER_2,0.00133414,0.00133414,8.31199e-07
5176.01,2335.8,LAYER_2,BOTTOM_LAYER,0.00133414,0.00133414,-0
5211.44,1839.73,TOP_LAYER,LAYER_1,0.00135784,0.00135784,-1.45856e-15
5211.44,1839.73,LAYER_1,LAYER_2,0.00135784,0.00135784,-5.31907e-16
5211.44,1839.73,LAYER_2,BOTTOM_LAYER,0.00135784,0.00135784,-0
5211.44,2264.93,TOP_LAYER,LAYER_1,0.00133477,0.00133487,-0.000708143
5211.44,2264.93,LAYER_1,LAYER_2,0.00133487,0.00133545,-0.000708143
5211.44,2264.93,LAYER_2,BOTTOM_LAYER,0.00133545,0.00133545,-0
5246.88,1910.6,TOP_LAYER,LAYER_1,0.00135203,0.00135203,-0
5246.88,1910.6,LAYER_1,LAYER_2,0.00135203,0.00135203,-7.97861e-16
5246.88,1910.6,LAYER_2,BOTTOM_LAYER,0.00135203,0.00135203,-0
