x,y,layer1,layer2,voltage1,voltage2,current
5176.01,1060.21,TOP_LAYER,LAYER_1,0.00109669,0.00109669,-0
5176.01,1060.21,LAYER_1,LAYER_2,0.00109669,0.0010911,0.00684724
5176.01,1060.21,LAYER_2,BOTTOM_LAYER,0.0010911,0.00109053,0.00382814
5176.01,1201.94,TOP_LAYER,LAYER_1,0.00109844,0.00109844,-0
5176.01,1201.94,LAYER_1,LAYER_2,0.00109844,0.00109244,0.00736018
5176.01,1201.94,LAYER_2,BOTTOM_LAYER,0.00109244,0.00109183,0.00405781
5176.01,1910.6,TOP_LAYER,LAYER_1,0.00116191,0.00116191,-0
5176.01,1910.6,LAYER_1,LAYER_2,0.00116191,0.00116125,0.000813858
5176.01,1910.6,LAYER_2,BOTTOM_LAYER,0.00116125,0.00116118,0.000451311
5176.01,2194.07,TOP_LAYER,LAYER_1,0.00120949,0.00120844,0.00704582
5176.01,2194.07,LAYER_1,LAYER_2,0.00120844,0.00120476,0.00451508
5176.01,2194.07,LAYER_2,BOTTOM_LAYER,0.00120476,0.00120443,0.00221917
5176.01,2335.8,TOP_LAYER,LAYER_1,0.0012186,0.00121867,-0.000443153
5176.01,2335.8,LAYER_1,LAYER_2,0.00121867,0.00121782,0.00104151
5176.01,2335.8,LAYER_2,BOTTOM_LAYER,0.00121782,0.00121773,0.00061111
5211.44,1839.73,TOP_LAYER,LAYER_1,0.00114931,0.00114931,-0
5211.44,1839.73,LAYER_1,LAYER_2,0.00114931,0.00114805,0.00155045
5211.44,1839.73,LAYER_2,BOTTOM_LAYER,0.00114805,0.00114793,0.000778759
5211.44,1981.47,TOP_LAYER,LAYER_1,0.0011756,0.0011756,-0
5211.44,1981.47,LAYER_1,LAYER_2,0.0011756,0.00117437,0.00150566
5211.44,1981.47,LAYER_2,BOTTOM_LAYER,0.00117437,0.00117426,0.000764665
5211.44,2264.93,TOP_LAYER,LAYER_1,0.00121569,0.00121511,0.00386642
5211.44,2264.93,LAYER_1,LAYER_2,0.00121511,0.00121259,0.00309674
5211.44,2264.93,LAYER_2,BOTTOM_LAYER,0.00121259,0.00121235,0.00157798
5246.88,1910.6,TOP_LAYER,LAYER_1,0.00116189,0.00116189,-0
5246.88,1910.6,LAYER_1,LAYER_2,0.00116189,0.001161,0.00108616
