refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,11.9928,7.18627,0
VCOMP0,VCOMP0-1,0,-7.18627,0
VCOMP1,VCOMP1-0,11.7603,-5.99999,0.0166667
VCOMP1,VCOMP1-1,0.0016871,5.99999,0.0166667
VCOMP2,VCOMP2-0,11.8633,-0.296489,13.3333
VCOMP2,VCOMP2-1,11.8633,-0.296485,13.3333
VCOMP2,VCOMP2-2,11.8655,-0.296652,13.3333
VCOMP2,VCOMP2-3,11.8654,-0.296647,13.3333
VCOMP2,VCOMP2-4,0.00172033,0.593134,13.3333
VCOMP2,VCOMP2-5,0.00167933,0.593137,13.3333
VCOMP3,VCOMP3-0,11.9363,-3.63572,0.0126667
VCOMP3,VCOMP3-1,11.9352,-3.55054,0.0126667
VCOMP3,VCOMP3-2,11.8668,1.85191,0.0126667
VCOMP3,VCOMP3-3,11.8672,1.82078,0.0126667
VCOMP3,VCOMP3-4,11.8682,1.7414,0.0126667
VCOMP3,VCOMP3-5,11.8678,1.77217,0.0126667
VCOMP4,VCOMP4-0,11.8555,-6,0.00725
VCOMP4,VCOMP4-1,11.7685,6,0.00725
